barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
8.039268293,0,0,0,38,0,0,0,0,0,0,-1,-1,0,216.7560976,41,0,0,0,0,0,0,4,1.3,,26011,,-1,800,0,Regular,Regular Gasoline,-1,-1,47,0,0,0,0,0,0,0,0,26572,0,0,Honda,Civic CRX,N,FALSE,0,0,0,0,0,0,0,Manual 5-spd,51,0,67,0,Two Seaters,1984,2750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
8.451538462,0,0,0,36,0,0,0,0,0,0,-1,-1,0,227.8717949,39,0,0,0,0,0,0,4,1.3,,26015,CA model,-1,850,0,Regular,Regular Gasoline,-1,-1,45,0,0,0,0,0,0,0,0,27692,0,0,Honda,Civic CRX,N,FALSE,0,0,0,0,0,0,0,Manual 5-spd,48,0,64,0,Two Seaters,1984,2500,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.155833333,0,0,0,33,0,0,0,0,0,0,-1,-1,0,246.8611111,36,0,0,0,0,0,0,4,1.3,,57011,(FFS),-1,900,0,Regular,Regular Gasoline,-1,-1,40,0,0,0,0,0,0,10,73,26596,0,0,Toyota,Starlet,N,FALSE,0,0,0,0,0,0,0,Manual 5-spd,44,0,57,0,Minicompact Cars,1984,2250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.321585366,0,0,0,37,0,0,0,0,0,0,-1,-1,0,248.2926829,41,0,0,0,0,0,0,4,1.7,,38020,(DIESEL),-1,850,0,Diesel,Diesel,-1,-1,46,0,0,0,0,0,0,16,82,26645,11,11,Nissan,Sentra,N,FALSE,84,84,0,0,0,0,0,Manual 4-spd,50,0,66,0,Subcompact Cars,1984,2500,,,,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.417428571,0,0,0,32,0,0,0,0,0,0,-1,-1,0,253.9142857,35,0,0,0,0,0,0,4,1.3,,26011,,-1,950,0,Regular,Regular Gasoline,-1,-1,39,0,0,0,0,0,0,15,70,26684,0,12,Honda,Civic,N,FALSE,0,84,0,0,0,0,0,Manual 4-spd,42,0,55,0,Subcompact Cars,1984,2000,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.554625,0,0,0,38,0,0,0,0,0,0,-1,-1,0,254.5,40,0,0,0,0,0,0,4,1.7,,38026,(DIESEL) CA model,-1,850,0,Diesel,Diesel,-1,-1,44,0,0,0,0,0,0,16,82,27759,11,11,Nissan,Sentra,N,FALSE,84,84,0,0,0,0,0,Manual 4-spd,51,0,63,0,Subcompact Cars,1984,2500,,,,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.694411765,0,0,0,32,0,0,0,0,0,0,-1,-1,0,261.3823529,34,0,0,0,0,0,0,4,1.3,,57010,(CAL)(FFS),-1,1000,0,Regular,Regular Gasoline,-1,-1,38,0,0,0,0,0,0,10,73,26595,0,0,Toyota,Starlet,N,FALSE,0,0,0,0,0,0,0,Manual 4-spd,42,0,54,0,Minicompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.694411765,0,0,0,31,0,0,0,0,0,0,-1,-1,0,261.3823529,34,0,0,0,0,0,0,4,1.4,,49010,(FFS),-1,1000,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,11,77,26658,0,0,Dodge,Colt,N,FALSE,0,0,0,0,0,0,0,Manual 4-spd,41,0,53,0,Subcompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.694411765,0,0,0,31,0,0,0,0,0,0,-1,-1,0,261.3823529,34,0,0,0,0,0,0,4,1.4,,49011,(FFS),-1,1000,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,11,77,26716,0,0,Mitsubishi,Precis,N,FALSE,0,0,0,0,0,0,0,Manual 4-spd,41,0,53,0,Subcompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
12.67730769,0,0,0,22,0,0,0,0,0,0,-1,-1,0,341.8076923,26,0,0,0,0,0,0,4,2.2,Front-Wheel Drive,2410,(FFS),-1,1300,0,Regular,Regular Gasoline,-1,-1,32,0,0,0,0,0,0,0,0,2178,15,15,Plymouth,Reliant,N,FALSE,96,95,0,0,0,0,0,Manual 5-spd,28,0,45,0,Midsize Cars,1986,250,,SIL,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
