barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
0.0664285714,0,0,0,24,0,0,0,0,0,0,-1,-1,0,253.1973214286,28,0,0,0,0,0,0,4,1.8,Front-Wheel Drive,25,RNG=170,-1,1100,0,CNG,Natural Gas,-1,-1,36,0,0,0,0,0,0,0,0,29758,0,6,Honda,Civic CNG,Y,false,0,91,0,0,0,0,0,Automatic 5-spd,31,0,50.5,0,Subcompact Cars,2010,1250,,,,,CNG,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
6.5922,0,0,0,51,0,0,0,0,0,0,-1,-1,0,177.74,50,0,0,0,0,0,0,4,1.8,Front-Wheel Drive,20,,-1,650,0,Regular,Regular Gasoline,-1,-1,48,0,0,0,0,0,0,22,94,26425,0,0,Toyota,Prius,Y,false,0,0,0,0,0,0,0,Automatic (variable gear ratios),71.9537,0,69.6404,0,Midsize Cars,2010,3500,,,,,Hybrid,,,202V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
7.8478571429,0,0,0,40,0,0,0,0,0,0,-1,-1,0,211.5952380952,42,0,0,0,0,0,0,4,1.3,Front-Wheel Drive,19,,-1,800,0,Regular,Regular Gasoline,-1,-1,45,0,0,0,0,0,0,0,0,29712,0,10,Honda,Civic Hybrid,Y,false,0,91,0,0,0,0,0,Automatic (variable gear ratios),54.6,0,65,0,Compact Cars,2010,2750,,,,,Hybrid,,,158V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
8.0392682927,0,0,0,40,0,0,0,0,0,0,-1,-1,0,216.756097561,41,0,0,0,0,0,0,4,1.3,Front-Wheel Drive,2,,-1,800,0,Regular,Regular Gasoline,-1,-1,43,0,0,0,0,0,0,0,0,26365,0,16,Honda,Insight,Y,false,0,85,0,0,0,0,0,Auto(AV-S7),54.3737,0,62.2674,0,Compact Cars,2010,2750,,,,,Hybrid,,,101V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
8.0392682927,0,0,0,40,0,0,0,0,0,0,-1,-1,0,216.756097561,41,0,0,0,0,0,0,4,1.3,Front-Wheel Drive,1,,-1,800,0,Regular,Regular Gasoline,-1,-1,43,0,0,0,0,0,0,0,0,26366,0,16,Honda,Insight,Y,false,0,85,0,0,0,0,0,Automatic (variable gear ratios),54.6779,0,61.2,0,Compact Cars,2010,2750,,,,,Hybrid,,,101V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
8.4515384615,0,0,0,41,0,0,0,0,0,0,-1,-1,0,227.8717948718,39,0,0,0,0,0,0,4,2.5,Front-Wheel Drive,116,,-1,850,0,Regular,Regular Gasoline,-1,-1,36,0,0,0,0,0,0,0,0,26405,0,12,Ford,Fusion Hybrid FWD,Y,false,0,101,0,0,0,0,0,Automatic (variable gear ratios),56.5,0,51.6,0,Midsize Cars,2010,2500,,,,,Hybrid,,,275V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
8.4515384615,0,0,0,41,0,0,0,0,0,0,-1,-1,0,227.8717948718,39,0,0,0,0,0,0,4,2.5,Front-Wheel Drive,117,,-1,850,0,Regular,Regular Gasoline,-1,-1,36,0,0,0,0,0,0,0,0,26415,0,12,Mercury,Milan Hybrid FWD,Y,false,0,100,0,0,0,0,0,Automatic (variable gear ratios),56.5,0,51.6,0,Midsize Cars,2010,2500,,,,,Hybrid,,,275V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
9.1558333333,0,0,0,33,0,0,0,0,0,0,-1,-1,0,246.8611111111,36,0,0,0,0,0,0,3,1,Rear-Wheel Drive,84,,-1,1100,0,Premium,Premium Gasoline,-1,-1,41,0,0,0,0,0,0,0,0,29811,0,0,smart,fortwo cabriolet,Y,false,0,0,0,0,0,0,0,Auto(AM5),44.3,0,57.8,0,Two Seaters,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.1558333333,0,0,0,33,0,0,0,0,0,0,-1,-1,0,246.8611111111,36,0,0,0,0,0,0,3,1,Rear-Wheel Drive,74,,-1,1100,0,Premium,Premium Gasoline,-1,-1,41,0,0,0,0,0,0,0,0,29812,0,0,smart,fortwo coupe,Y,false,0,0,0,0,0,0,0,Auto(AM5),44.3,0,57.8,0,Two Seaters,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.4174285714,0,0,0,35,0,0,0,0,0,0,-1,-1,0,253.9142857143,35,0,0,0,0,0,0,4,2.4,Front-Wheel Drive,47,Hybrid,-1,950,0,Regular,Regular Gasoline,-1,-1,34,0,0,0,0,0,0,0,0,28588,0,12,Lexus,HS 250h,Y,false,0,90,0,0,0,0,0,Automatic (variable gear ratios),47.163,0,47.4081,0,Compact Cars,2010,2000,,,,,Hybrid,,,245V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
9.6944117647,0,0,0,33,0,0,0,0,0,0,-1,-1,0,261.3823529412,34,0,0,0,0,0,0,4,2.4,Front-Wheel Drive,15,Hybrid,-1,1000,0,Regular,Regular Gasoline,-1,-1,34,0,0,0,0,0,0,0,0,26424,0,11,Toyota,Camry Hybrid,Y,false,0,101,0,0,0,0,0,Automatic (variable gear ratios),44.2454,0,48.2,0,Midsize Cars,2010,1750,,,,,Hybrid,,,245V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
